camp,author,reach
science,Paul Beckwith,1.0
science,@zzubra,1.5446428571428572
science,National Geographic,1.0
science,PBS Terra,1.0
science,Extinction Rebellion (XR) UK,1.0
science,1000frolly PhD,1.0
science,The Heartland Institute,1.0
science,The Young Turks,1.0
science,Just Have a Think,1.0
science,ScootleRoyale,1.0
denial,StarTalk,1.0
denial,Be Smart,1.0
denial,Kurzgesagt – In a Nutshell,1.0
denial,Sabine Hossenfelder,1.0
denial,PBS Terra,1.0
denial,@superstormthunder3,1.6000000000000003
denial,Jubilee,1.0
denial,Astrum,1.0
denial,John Stossel,1.0
denial,MS NOW,1.0
