camp,topic_id,top_words
science,0,"ice, year, sea, level, water, melt, warm, global, earth, ocean"
science,1,"hai, china, countr, country, sheet, build, coast, world, india, except"
science,2,"climate, change, science, scientist, data, evidence, research, wrong, scientific, claim"
science,3,"it's, know, thank, don't, good, much, need, world, see, say"
science,4,"energy, carbon, gas, plant, atmosphere, heat, solar, fuel, fossil, emission"
denial,0,"know, don't, it's, thank, good, say, need, want, work, money"
denial,1,"climate, change, science, scientist, fact, it's, data, real, actual, point"
denial,2,"die, der, answer, bill, und, das, ist, nicht, gat, von"
denial,3,"warm, global, ice, year, level, water, earth, temperature, sea, carbon"
denial,4,"year, energy, power, nuclear, last, solar, wind, every, use, live"
